"Date" "DateID" "Option" "S" "K" "r" "q" "tau" "t" "sigma" "C" "Day" "MeanPrice" "rv5" "rsv" "medrv" "bv" "rk_parzen" "naive"
"5826" "2011-10-11" 20111011 31 1195.54 1131.42 0.00436502514285715 0.02227978 0.218253968253968 0.0317460317460317 0.366466333333333 112.339045718083 8 45.5380082816835 0.181227548308247 0.13019045006597 0.141737319575788 0.155120418034314 0.102719114483021 0.176207851992067
"5829" "2011-10-12" 20111012 31 1207.25 1131.42 0.00377636782312925 0.02234226 0.214285714285714 0.0357142857142857 0.36622080952381 119.266479095167 9 45.5380082816835 0.206203465765037 0.133944435497537 0.135791552481623 0.176057548575069 0.182547628748282 0.176477498885355
"5832" "2011-10-13" 20111013 31 1203.66 1131.42 0.0037845432244898 0.02250252 0.21031746031746 0.0396825396825397 0.365975285714286 116.176714107119 10 45.5380082816835 0.206731339451644 0.163581865094768 0.13935172238181 0.197546116745978 0.172181992645011 0.176340953021613
"5835" "2011-10-14" 20111014 31 1224.58 1131.42 0.00374708098639456 0.02252517 0.206349206349206 0.0436507936507936 0.365729761904762 129.768353931922 11 45.5380082816835 0.236351943088757 0.103408338843481 0.102068889380199 0.153423929665746 0.163542073579088 0.177129601192239
"5838" "2011-10-17" 20111017 31 1200.86 1131.42 0.00381378346938776 0.02278106 0.202380952380952 0.0476190476190476 0.365484238095238 112.91439239492 12 45.5380082816835 0.189161167791674 0.15441775750864 0.117115912299185 0.172703234015859 0.162010634668202 0.177151783603087
"5841" "2011-10-18" 20111018 31 1225.38 1131.42 0.00381938077551021 0.02286083 0.198412698412698 0.0515873015873016 0.365238714285714 128.969276704631 13 45.5380082816835 0.241456549365448 0.147467381606946 0.14465673418865 0.247712950214209 0.218376287660263 0.178421653392548
"5844" "2011-10-19" 20111019 31 1209.88 1131.42 0.00384155996598639 0.02287202 0.194444444444444 0.0555555555555556 0.36499319047619 117.565324397557 14 45.5380082816835 0.186092831178166 0.146083776045377 0.180611065316803 0.197192702165262 0.169929898507761 0.178112867061152
"5847" "2011-10-20" 20111020 31 1215.39 1131.42 0.00389915428571428 0.02292194 0.19047619047619 0.0595238095238095 0.364747666666667 120.653296193541 15 45.5380082816835 0.23004717953988 0.146938154498611 0.194112972662223 0.223433820387946 0.19994774709105 0.178198019399869
"5850" "2011-10-21" 20111021 31 1238.25 1131.42 0.0039066343877551 0.02303286 0.186507936507937 0.0634920634920635 0.364502142857143 136.239090343128 16 45.5380082816835 0.222248119261591 0.0862069785414935 0.117835035088241 0.149989124520934 0.234810531777998 0.179314755530104
"5853" "2011-10-24" 20111024 31 1254.19 1131.42 0.00392623501700681 0.02325785 0.182539682539683 0.0674603174603175 0.364256619047619 147.466493076333 17 45.5380082816835 0.127130547166076 0.0733843263498423 0.0928392940465611 0.128242152680102 0.130426798380564 0.179828176134972
"5856" "2011-10-25" 20111025 31 1229.05 1131.42 0.00396832593537415 0.02329637 0.178571428571429 0.0714285714285714 0.364011095238095 128.202264170647 18 45.5380082816835 0.233070152008084 0.204116483975231 0.140579175818204 0.207737234070249 0.220733855003548 0.179809710707138
"5859" "2011-10-26" 20111026 31 1242 1131.42 0.00399028275510204 0.02342028 0.174603174603175 0.0753968253968254 0.363765571428571 137.009928963871 19 45.5380082816835 0.280043553203284 0.158046717425615 0.176122146277467 0.246000444443445 0.216566070961533 0.180160085597868
"5862" "2011-10-27" 20111027 31 1284.59 1131.42 0.00389228352040816 0.02342608 0.170634920634921 0.0793650793650794 0.363520047619048 169.593963157464 20 45.5380082816835 0.408347478451671 0.106988880680299 0.114301305976859 0.16429361543471 0.301373450523734 0.183245023893048
